Fecha,CasosNuevos,CasosAcumulado,MuertesNuevos,MuertesAcumulado,RecuperadosNuevos,RecuperadosAcumulado
2020-03-03,1,1,0,0,0,0
2020-03-04,0,1,0,0,0,0
2020-03-05,1,2,0,0,0,0
2020-03-06,6,8,0,0,0,0
2020-03-07,0,8,1,1,0,0
2020-03-08,3,12,0,1,0,0
2020-03-09,5,17,0,1,0,0
2020-03-10,2,19,0,1,0,0
2020-03-11,2,21,0,1,0,0
2020-03-12,10,31,0,1,1,1
2020-03-13,3,34,1,2,3,4
2020-03-14,11,45,0,2,1,5
2020-03-15,11,56,0,2,0,5
2020-03-16,9,65,0,2,7,12
2020-03-17,14,79,0,2,0,12
2020-03-18,19,97,1,3,4,16
2020-03-19,31,128,0,3,2,18
2020-03-20,30,158,0,3,5,23
2020-03-21,67,225,1,4,8,31
2020-03-22,41,266,0,4,7,38
2020-03-23,36,301,0,4,13,51
2020-03-24,86,387,2,6,1,52
2020-03-25,117,502,2,8,11,63
2020-03-26,87,589,4,12,9,72
2020-03-27,101,690,5,17,4,76
2020-03-28,55,745,2,19,4,80
2020-03-29,75,820,2,21,11,91
2020-03-30,146,966,3,24,137,228
2020-03-31,88,1054,3,27,12,240
2020-04-01,79,1133,6,33,8,248
2020-04-02,132,1265,4,37,8,256
2020-04-03,88,1353,5,42,10,266
2020-04-04,98,1451,1,43,13,279
2020-04-05,103,1554,5,48,1,280
2020-04-06,74,1628,6,54,45,325
2020-04-07,87,1715,6,60,13,338
2020-04-08,80,1795,5,65,20,358
2020-04-09,99,1894,14,79,7,365
2020-04-10,81,1975,4,83,10,375
2020-04-11,167,2142,7,90,65,440
2020-04-12,66,2208,5,95,28,468
2020-04-13,69,2277,3,98,47,515
2020-04-14,166,2443,7,105,44,559
2020-04-15,128,2571,7,112,37,596
2020-04-16,98,2669,10,122,35,631
2020-04-17,88,2758,7,129,35,666
2020-04-18,81,2839,3,132,19,685
2020-04-19,102,2941,2,134,24,709
2020-04-20,90,3031,8,142,28,737
2020-04-21,112,3144,9,151,103,840
2020-04-22,144,3288,8,159,32,872
2020-04-23,147,3435,8,167,47,919
2020-04-24,172,3607,12,179,57,976
2020-04-25,173,3780,8,187,54,1030
2020-04-26,112,3892,5,192,77,1107
2020-04-27,111,4003,5,197,33,1140
2020-04-28,124,4127,10,207,22,1162
2020-04-29,158,4285,7,214,30,1192
2020-04-30,143,4428,4,218,64,1256
2020-05-01,105,4532,7,225,36,1292
2020-05-02,149,4681,12,237,28,1320
2020-05-03,103,4783,9,246,34,1354
2020-05-04,104,4887,14,260,88,1442
2020-05-05,134,5020,4,264,30,1472
2020-05-06,188,5208,9,273,52,1524
2020-05-07,163,5371,9,282,77,1601
2020-05-08,240,5611,11,293,58,1659
2020-05-09,165,5776,7,300,69,1728
2020-05-10,258,6034,5,305,29,1757
2020-05-11,244,6278,9,314,80,1837
2020-05-12,285,6563,5,319,25,1862
2020-05-13,316,6879,10,329,404,2266
2020-05-14,255,7134,24,353,119,2385
2020-05-15,345,7479,3,356,112,2497
2020-05-16,326,7805,7,363,37,2534
2020-05-17,263,8068,10,373,35,2569
2020-05-18,303,8371,9,382,56,2625
2020-05-19,438,8809,11,393,247,2872
2020-05-20,474,9283,10,403,61,2933
2020-05-21,648,9931,13,416,99,3032
2020-05-22,718,10649,17,433,30,3062
2020-05-23,704,11353,12,445,468,3530
2020-05-24,723,12076,7,452,202,3732
2020-05-25,552,12628,15,467,267,3999
2020-05-26,600,13228,23,490,168,4167
2020-05-27,706,13933,10,500,182,4349
2020-05-28,769,14702,8,508,268,4617
2020-05-29,717,15419,12,520,171,4788
2020-05-30,795,16214,8,528,312,5100
2020-05-31,637,16851,11,539,236,5336
2020-06-01,564,17415,17,556,185,5521
2020-06-02,904,18319,13,569,188,5709
2020-06-03,949,19268,14,583,187,5896
2020-06-04,929,20197,25,608,97,5993
2020-06-05,840,21037,24,632,95,6088
2020-06-06,983,22020,16,648,92,6180
2020-06-07,774,22794,16,664,729,6909
2020-06-08,826,23620,29,693,396,7305
2020-06-09,1141,24761,24,717,263,7568
2020-06-10,1226,25987,18,735,423,7991
2020-06-11,1386,27373,30,765,341,8332
2020-06-12,1391,28764,20,785,411,8743
2020-06-13,1531,30295,30,815,340,9083
2020-06-14,1282,31577,18,833,481,9564
2020-06-15,1208,32785,21,854,327,9891
2020-06-16,1374,34159,24,878,283,10174
2020-06-17,1393,35552,35,913,338,10512
2020-06-18,1958,37510,35,948,209,10721
2020-06-19,2060,39570,31,979,1130,11851
2020-06-20,1634,41204,14,992,355,12206
2020-06-21,1581,42785,19,1011,522,12728
2020-06-22,2146,44931,32,1043,425,13153
2020-06-23,2285,47216,35,1078,423,13576
2020-06-24,2635,49851,38,1116,240,13816
2020-06-25,2606,52457,34,1150,972,14788
2020-06-26,2886,55343,34,1184,3628,18416
2020-06-27,2401,57744,23,1207,727,19143
2020-06-28,2189,59933,26,1232,991,20134
2020-06-29,2335,62268,48,1280,1004,21138
2020-06-30,2262,64530,27,1307,890,22028
2020-07-01,2667,67197,44,1351,1012,23040
2020-07-02,2744,69941,34,1385,1146,24186
2020-07-03,2845,72786,52,1437,1038,25224
2020-07-04,2590,75376,44,1481,706,25930
2020-07-05,2439,77815,26,1507,1667,27597
2020-07-06,2632,80447,75,1582,934,28531
2020-07-07,2979,83426,62,1644,1564,30095
2020-07-08,3604,87030,51,1694,6407,36502
2020-07-09,3663,90693,26,1720,1811,38313
2020-07-10,3367,94060,54,1774,671,38984
2020-07-11,3449,97509,36,1810,2424,41408
2020-07-12,2657,100166,35,1845,1286,42694